Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Transaction fee (EUR),Finra fee (EUR),Notes,ID,French transaction tax,Currency conversion fee (EUR)
Deposit,2021-01-01 16:24:52,,,,,,,,,10.00,,,10.00,,,"Transaction ID: 4726095182915666",ed75b407-3aa6-4078-9b24-0f8c8d6c6f9d,,
Deposit,2021-01-04 09:25:23,,,,,,,,,613.00,,,613.00,,,"Transaction ID: 1336097523230324",274a473f-30bb-4334-bf66-dac1a5f4414a,,
Market buy,2021-01-04 09:26:36,IE00BGL86Z12,ECAR,"iShares Electric Vehicles and Driving Technology",17.6234800000,7.32,USD,1.22928,,105.00,,,,,,,EOF734893087,,
Market buy,2021-01-04 09:26:37,IE00B0M63284,IPRP,"iShares European Property Yield",0.7308424300,3688.00,GBX,89.84491,,30.00,,,,,,,EOF734893095,,
Market buy,2021-01-04 09:27:41,IE00BYZK4776,HEAL,"iShares Healthcare Innovation",12.4890560000,10.34,USD,1.22928,,105.00,,,,,,,EOF734893390,,
Market buy,2021-01-04 09:29:01,IE00B3WJKG14,QDVE,"iShares S&P 500 Information Technology Sector EUR",4.4856450000,13.38,EUR,1.00000,,60.00,,,,,,,EOF734893617,,
Market buy,2021-01-04 09:29:08,FR0013176526,FR,"Valeo",0.3633190000,32.93,EUR,1.00000,,12.00,,,,,,,EOF734893643,0.04,
Market buy,2021-01-04 14:30:07,CA72706K1012,PLNHF,"Planet 13",1.3035800000,5.66,USD,1.22971,,6.00,,,,,,,EOF737815021,,
Market buy,2021-01-04 14:32:48,US2937921078,EPD,"Enterprise Products Partners",1.2330960000,19.96,USD,1.23062,,20.00,,,,,,,EOF738583912,,
Market buy,2021-01-04 14:33:04,US92259F1012,VLDR,"Velodyne Lidar",0.6332330000,23.32,USD,1.23058,,12.00,,,,,,,EOF738586300,,
Market buy,2021-01-04 14:33:44,US98980F1049,ZI,"ZoomInfo",1.0193330000,48.29,USD,1.23058,,40.00,,,,,,,EOF738592909,,
Market buy,2021-01-04 14:34:35,US52603B1070,TREE,"Lendingtree",0.1419465000,277.42,USD,1.23058,,32.00,,,,,,,EOF738599721,,
Market buy,2021-01-04 14:34:51,US09061G1013,BMRN,"Biomarin Pharma",0.1926440000,89.43,USD,1.23058,,14.00,,,,,,,EOF738601646,,
Market buy,2021-01-04 14:35:23,US38113L1070,GNOG,"Golden Nugget Online Gaming",1.4212750000,20.78,USD,1.23059,,24.00,,,,,,,EOF738605464,,
Market buy,2021-01-04 14:38:21,US46625H1005,JPM,"JPMorgan Chase",0.3857044000,127.62,USD,1.23058,,40.00,,,,,,,EOF738615219,,
Limit buy,2021-01-04 14:40:32,US02451V1017,ABML,"American Battery Technology",10.0000000000,1.19,USD,1.22939,,9.68,,,,,,,EOF738619300,,
Limit buy,2021-01-04 15:04:52,US02451V1017,ABML,"American Battery Technology",10.0000000000,1.10,USD,1.22829,,8.96,,,,,,,EOF739826942,,
Limit buy,2021-01-04 15:45:29,IE00BLRPRL42,QQQ3,"WisdomTree NASDAQ 100 3x",1.0000000000,131.00,USD,1.22641,,106.82,,,,,,,EOF742386517,,
Deposit,2021-01-05 14:16:54,,,,,,,,,12.00,,,12.00,,,"Transaction ID: 4556098562133665",5adcdfa2-7a50-4812-ac70-5a3f5e547707,,
Limit buy,2021-01-05 14:36:37,US02451V1017,ABML,"American Battery Technology",10.0000000000,1.05,USD,1.22703,,8.56,,,,,,,EOF749245840,,
Limit buy,2021-01-05 14:36:43,US8902607063,TNXP,"Tonix",15.0000000000,0.83,USD,1.22703,,10.15,,,,,,,EOF749246128,,
Market sell,2021-01-05 14:36:44,US8902607063,TNXP,"Tonix",8.0000000000,0.83,USD,1.22726,-0.02,5.39,,,,,,,EOF749246135,,
